"index","filename","syllable","base_vowel","style","target_duration_sec","voiced_duration_sec","sample_rate","recorded_at","mime_type","size_bytes"
"20","hj_020_어_터_short.wav","터","어","short","1","1.00","44100","2026-03-15T11:28:15.178Z","audio/wav","98348"
"21","hj_021_오_오_short.wav","오","오","short","1","1.00","44100","2026-03-15T11:28:20.279Z","audio/wav","139308"
"22","hj_022_오_오_short.wav","오","오","short","1","1.00","44100","2026-03-15T11:28:22.776Z","audio/wav","163884"
"23","hj_023_오_오_normal.wav","오","오","normal","1.5","1.50","44100","2026-03-15T11:28:25.510Z","audio/wav","172076"
"24","hj_024_오_오_normal.wav","오","오","normal","1.5","1.50","44100","2026-03-15T11:28:28.170Z","audio/wav","163884"
"25","hj_025_오_오_long.wav","오","오","long","2.5","2.55","44100","2026-03-15T11:28:32.283Z","audio/wav","294956"
"26","hj_026_오_오_long.wav","오","오","long","2.5","2.55","44100","2026-03-15T11:28:36.068Z","audio/wav","262188"
"27","hj_027_오_로_long.wav","로","오","long","2.5","2.55","44100","2026-03-15T11:28:40.047Z","audio/wav","262188"
"28","hj_028_오_고_long.wav","고","오","long","2.5","2.55","44100","2026-03-15T11:28:43.848Z","audio/wav","245804"
"29","hj_029_오_모_normal.wav","모","오","normal","1.5","1.50","44100","2026-03-15T11:28:46.499Z","audio/wav","163884"
"30","hj_030_오_토_normal.wav","토","오","normal","1.5","1.50","44100","2026-03-15T11:28:49.248Z","audio/wav","172076"
"31","hj_031_우_우_short.wav","우","우","short","1","1.00","44100","2026-03-15T11:28:54.144Z","audio/wav","139308"
"32","hj_032_우_우_short.wav","우","우","short","1","1.00","44100","2026-03-15T11:28:56.338Z","audio/wav","131116"
"33","hj_033_우_우_normal.wav","우","우","normal","1.5","1.50","44100","2026-03-15T11:28:59.013Z","audio/wav","163884"
"34","hj_034_우_우_normal.wav","우","우","normal","1.5","1.50","44100","2026-03-15T11:29:01.467Z","audio/wav","139308"
"35","hj_035_우_우_long.wav","우","우","long","2.5","2.55","44100","2026-03-15T11:29:05.036Z","audio/wav","245804"
"36","hj_036_우_우_long.wav","우","우","long","2.5","2.55","44100","2026-03-15T11:29:09.987Z","audio/wav","245804"
"37","hj_037_우_투_short.wav","투","우","short","1","1.00","44100","2026-03-15T11:29:12.199Z","audio/wav","114732"
"38","hj_038_우_부_normal.wav","부","우","normal","1.5","1.50","44100","2026-03-15T11:29:15.020Z","audio/wav","180268"
"39","hj_039_우_쿠_short.wav","쿠","우","short","1","1.00","44100","2026-03-15T11:29:17.193Z","audio/wav","106540"
"40","hj_040_우_주_normal.wav","주","우","normal","1.5","1.50","44100","2026-03-15T11:29:19.889Z","audio/wav","172076"
"41","hj_041_으_으_short.wav","으","으","short","1","1.00","44100","2026-03-15T11:29:23.272Z","audio/wav","131116"
"42","hj_042_으_으_short.wav","으","으","short","1","1.00","44100","2026-03-15T11:29:26.519Z","audio/wav","163884"
"43","hj_043_으_으_normal.wav","으","으","normal","1.5","1.50","44100","2026-03-15T11:29:33.698Z","audio/wav","294956"
"44","hj_044_으_으_normal.wav","으","으","normal","1.5","1.50","44100","2026-03-15T11:29:36.743Z","audio/wav","204844"
"45","hj_045_으_으_long.wav","으","으","long","2.5","2.55","44100","2026-03-15T11:29:40.574Z","audio/wav","229420"
"46","hj_046_으_으_long.wav","으","으","long","2.5","2.55","44100","2026-03-15T11:29:44.320Z","audio/wav","270380"
"47","hj_047_으_스_long.wav","스","으","long","2.5","2.55","44100","2026-03-15T11:29:48.115Z","audio/wav","253996"
"48","hj_048_으_츠_short.wav","츠","으","short","1","1.00","44100","2026-03-15T11:29:50.434Z","audio/wav","147500"
"49","hj_049_으_므_short.wav","므","으","short","1","1.00","44100","2026-03-15T11:29:53.409Z","audio/wav","139308"
"50","hj_050_으_흐_long.wav","흐","으","long","2.5","2.55","44100","2026-03-15T11:29:57.792Z","audio/wav","278572"
"51","hj_051_이_이_short.wav","이","이","short","1","1.00","44100","2026-03-15T11:30:00.225Z","audio/wav","90156"
"52","hj_052_이_이_short.wav","이","이","short","1","1.00","44100","2026-03-15T11:30:05.389Z","audio/wav","385068"
"53","hj_053_이_이_normal.wav","이","이","normal","1.5","1.50","44100","2026-03-15T11:30:10.861Z","audio/wav","172076"
"54","hj_054_이_이_normal.wav","이","이","normal","1.5","1.50","44100","2026-03-15T11:30:13.381Z","audio/wav","163884"
"55","hj_055_이_이_long.wav","이","이","long","2.5","2.55","44100","2026-03-15T11:30:18.261Z","audio/wav","376876"
"56","hj_056_이_이_long.wav","이","이","long","2.5","2.55","44100","2026-03-15T11:30:21.613Z","audio/wav","221228"
"57","hj_057_이_티_short.wav","티","이","short","1","1.00","44100","2026-03-15T11:30:23.860Z","audio/wav","90156"
"58","hj_058_이_기_long.wav","기","이","long","2.5","2.55","44100","2026-03-15T11:30:28.109Z","audio/wav","303148"
"59","hj_059_이_니_short.wav","니","이","short","1","1.00","44100","2026-03-15T11:30:30.304Z","audio/wav","131116"
"60","hj_060_이_리_normal.wav","리","이","normal","1.5","1.50","44100","2026-03-15T11:30:33.125Z","audio/wav","180268"
"61","hj_061_에_에_short.wav","에","에","short","1","1.00","44100","2026-03-15T11:30:35.311Z","audio/wav","90156"
"62","hj_062_에_에_short.wav","에","에","short","1","1.00","44100","2026-03-15T11:30:37.565Z","audio/wav","139308"
"63","hj_063_에_에_normal.wav","에","에","normal","1.5","1.50","44100","2026-03-15T11:30:40.469Z","audio/wav","163884"
"64","hj_064_에_에_normal.wav","에","에","normal","1.5","1.50","44100","2026-03-15T11:30:51.277Z","audio/wav","352300"
"65","hj_065_에_에_long.wav","에","에","long","2.5","2.55","44100","2026-03-15T11:30:54.818Z","audio/wav","221228"
"66","hj_066_에_에_long.wav","에","에","long","2.5","2.55","44100","2026-03-15T11:30:58.378Z","audio/wav","253996"
"67","hj_067_에_체_normal.wav","체","에","normal","1.5","1.50","44100","2026-03-15T11:31:08.933Z","audio/wav","131116"
"68","hj_068_에_데_short.wav","데","에","short","1","1.00","44100","2026-03-15T11:31:11.066Z","audio/wav","106540"
"69","hj_069_에_메_short.wav","메","에","short","1","1.00","44100","2026-03-15T11:31:13.566Z","audio/wav","131116"
"70","hj_070_에_네_long.wav","네","에","long","2.5","2.55","44100","2026-03-15T11:31:19.861Z","audio/wav","368684"
